date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:13	151564/151564	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2008:26:11%20GMT	https://www.californialogodesigns.com/portfolio	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/portfolio.html	(from )
15:26:14	121/121	---MCZ	200	added ('OK')	text/plain	date:Tue,%2004%20Apr%202023%2010:41:15%20GMT	https://www.californialogodesigns.com/robots.txt		(from )
15:26:14	180797/180797	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Mar%202023%2015:27:26%20GMT	https://www.californialogodesigns.com/css/layout.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/css/layout.css	(from https://www.californialogodesigns.com/portfolio)
15:26:14	56340/56340	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20May%202023%2017:34:40%20GMT	https://www.californialogodesigns.com/css/animate.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/css/animate.css	(from https://www.californialogodesigns.com/portfolio)
15:26:14	12795/12795	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Mar%202023%2015:27:26%20GMT	https://www.californialogodesigns.com/css/jquery.fancybox.min.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/css/jquery.fancybox.min.css	(from https://www.californialogodesigns.com/portfolio)
15:26:15	12815/12815	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20May%202023%2017:35:12%20GMT	https://www.californialogodesigns.com/css/fancybox.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/css/fancybox.css	(from https://www.californialogodesigns.com/portfolio)
15:26:15	1257/1257	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20May%202023%2017:35:54%20GMT	https://www.californialogodesigns.com/css/slick.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/css/slick.css	(from https://www.californialogodesigns.com/portfolio)
15:26:15	76143/76143	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2008:19:58%20GMT	https://www.californialogodesigns.com/css/style.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/css/style.css	(from https://www.californialogodesigns.com/portfolio)
15:26:15	16705/16705	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2008:20:31%20GMT	https://www.californialogodesigns.com/css/responsive.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/css/responsive.css	(from https://www.californialogodesigns.com/portfolio)
15:26:15	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Mar%202023%2015:27:25%20GMT	https://www.californialogodesigns.com/css/font-awesome.min.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/css/font-awesome.min.css	(from https://www.californialogodesigns.com/portfolio)
15:26:17	101784/101784	---M-Z	200	added ('OK')	text/css	etag:%22630e6e62-543a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	(from https://www.californialogodesigns.com/portfolio)
15:26:17	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://www.californialogodesigns.com/portfolio)
15:26:18	1121/1121	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2019:42:31%20GMT	https://www.californialogodesigns.com/images/favicon.png	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/www.californialogodesigns.com/images/favicon.png	(from https://www.californialogodesigns.com/portfolio)
15:26:18	10657/10657	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Jul%202023%2021:17:00%20GMT	https://cdn.projectcamp.io/cookies.js	C:/Users/Lenovo/Downloads/https___www.californialogodesigns.com_portfolio/cdn.projectcamp.io/cookies.js	(from https://www.californialogodesigns.com/portfolio)
